track_name,artist,valence,energy,preview_url
Let Her Go,Passenger,0.25,0.45,https://p.scdn.co/mp3-preview/abc123
Happy,Pharrell Williams,0.95,0.8,https://p.scdn.co/mp3-preview/def456
Someone Like You,Adele,0.3,0.35,https://p.scdn.co/mp3-preview/ghi789
Uptown Funk,Mark Ronson ft. Bruno Mars,0.85,0.9,https://p.scdn.co/mp3-preview/jkl012
Chandelier,Sia,0.4,0.85,https://p.scdn.co/mp3-preview/mno345
Hallelujah,Leonard Cohen,0.2,0.3,https://p.scdn.co/mp3-preview/pqr678
Viva La Vida,Coldplay,0.7,0.6,https://p.scdn.co/mp3-preview/stu901
Shape of You,Ed Sheeran,0.85,0.75,https://p.scdn.co/mp3-preview/vwx234
Fix You,Coldplay,0.35,0.4,https://p.scdn.co/mp3-preview/yz1234
Can't Stop the Feeling!,Justin Timberlake,0.92,0.88,https://p.scdn.co/mp3-preview/zxc567
